,ort,plz,vorwahl
6864,Lichtentanne,8115,Error
6865,Lichtenwald,73669,07153
6866,Lichterfeld-Schacksdorf,3238,Error
6867,Liebenau,34396,05676
6868,Liebenau,31618,05023
6869,Liebenburg,38704,05346
6870,Liebenscheid,56479,02664
6871,Liebenwalde,16559,033054
6872,Lieberose,15868,033671
6873,Liebschützberg,4758,02824
6874,Liebshausen,55494,06764
6875,Liebstadt,1825,03844
6876,Liederbach am Taunus,65835,Error
6877,Lieg,56290,06746
6878,Lienen,49536,05484
6879,Liepe,16248,033369
6880,Liepgarten,17375,039771
6881,Lierfeld,54597,06556
6882,Lierschied,56357,Error
6883,Liesenich,56858,Error
6884,Lieser,54470,06531
6885,Ließem,54636,06561
6886,Lieth,25770,0481
6887,Lietzen,15306,03346
6888,Lietzow,18528,03838
6889,Lilienthal,28865,04208
6890,Limbach,74838,06287
6891,Limbach,8468,Error
6892,Limbach,8491,Error
6893,Limbach,57629,02747
6894,Limbach,55606,06752
6895,Limbach-Oberfrohna,9212,Error
6896,Limburg an der Lahn,65549,06431
6897,Limburg an der Lahn,65550,06431
6898,Limburg an der Lahn,65551,06431
6899,Limburg an der Lahn,65552,06431
6900,Limburg an der Lahn,65553,06431
6901,Limburg an der Lahn,65554,06431
6902,Limburg an der Lahn,65555,06431
6903,Limburg an der Lahn,65556,06431
6904,Limburgerhof,67117,06236
6905,Limeshain,63694,06047
6906,Linau,22959,04154
6907,Lind,56729,02651
6908,Lind,53506,02643
6909,Linda b. Weida,7580,Error
6910,Lindau,24214,04346
6911,Lindau (Bodensee),88131,08382
6912,Lindberg,94227,09922
6913,Linden,35440,06403
6914,Linden,57629,02747
6915,Linden,25791,04836
6916,Linden,66851,06307
6917,Linden,67706,06307
6918,Lindenau,1945,Error
6919,Lindenberg,67473,06325
6920,Lindenberg,17111,039994
6921,Lindenberg im Allgäu,88161,08381
6922,Lindendorf,15306,03346
6923,Lindenfels,64678,06255
6924,Lindenkreuz,7589,Error
6925,Lindenschied,55481,06763
6926,Lindern (Oldenburg),49699,05957
6927,Lindetal,17349,03966
6928,Lindewerra,37318,036083
6929,Lindewitt,24969,04604
6930,Lindholz,18334,038229
6931,Lindhorst,31698,05725
6932,Lindig,7768,Error
6933,Lindlar,51789,02266
6934,Lindow (Mark),16835,033083
6935,Lindwedel,29690,05071
6936,Lingen (Ems),49808,0591
6937,Lingen (Ems),49809,0591
6938,Lingen (Ems),49811,0591
6939,Lingenfeld,67360,07274
6940,Lingerhahn,56291,06746
6941,Linkenbach,56317,02689
6942,Linkenheim-Hochstetten,76351,07247
6943,Linnich,52441,02462
6944,Linsburg,31636,05027
6945,Linsengericht,63589,06051
6946,Linthe,14822,033841
6947,Linz am Rhein,53545,02644
6948,Linz am Rhein,53560,02645
6949,Lippersdorf-Erdmannsdorf,7646,07245
6950,Lippetal,59510,02921
6951,Lipporn,56357,06772
6952,Lipprechterode,99752,036338
6953,Lippstadt,59555,02941
6954,Lippstadt,59556,02941
6955,Lippstadt,59557,02941
6956,Lippstadt,59558,02941
6957,Lirstal,56767,02657
6958,Lisberg,96170,09549
6959,Lissendorf,54587,06597
6960,List auf Sylt,25992,Error
6961,Litzendorf,96123,0951
6962,Löbau,2708,Error
6963,Lobbach,74931,06226
6964,Löberschütz,7751,Error
6965,Löbichau,4626,Error
6966,Löbnitz,18314,038324
6967,Löbnitz,4509,Error
6968,Löchgau,74369,07143
6969,Lochum,57629,02747
6970,Löcknitz,17321,039754
6971,Lockstedt,25551,04826
6972,Loddin,17459,038375
6973,Lödla,4617,Error
6974,Löf,56332,02607
6975,Loffenau,76597,07083
6976,Löffingen,79843,07654
6977,Lohbarbek,25551,04826
6978,Lohberg,93470,09943
6979,Lohe-Föhrden,24806,04335
6980,Lohe-Rickelshof,25746,0481
6981,Lohfelden,34253,05605
6982,Lohheide,29303,05054
6983,Lohkirchen,84494,08639
6984,Löhma,7907,Error
6985,Lohmar,53797,02246
6986,Lohme,18551,038302
6987,Lohmen,1847,Error
6988,Lohmen,18276,03843
6989,Löhnberg,35792,06477
6990,Lohne,49393,04442
6991,Löhne,32584,05732
6992,Lohnsfeld,67727,06302
6993,Lohnweiler,67744,06382
6994,Lohra,35102,06426
6995,Lohr am Main,97816,09355
6996,Lohrheim,65558,06432
6997,Lohsa - Łaz,2999,Error
6998,Loiching,84180,08744
6999,Loissin,17509,038354
7000,Loit,24888,04641
7001,Loitsche-Heinrichsberg,39326,039206
7002,Loitz,17121,039998
7003,Loitzendorf,94359,09974
7004,Lollar,35457,06406
7005,Löllbach,67744,06382
7006,Lollschied,56357,06772
7007,Lommatzsch,1623,03334
7008,Longen,54338,06502
7009,Longkamp,54472,06531
7010,Longuich,54340,06507
7011,Löningen,49624,05434
7012,Lonnerstadt,91475,09193
7013,Lonnig,56295,02654
7014,Lonsee,89173,07336
7015,Lonsheim,55237,06734
7016,Looft,25582,04893
7017,Loop,24644,04392
7018,Loose,24366,04358
7019,Löptin,24250,04302
7020,Lorch,65391,06726
7021,Lorch,73547,07172
7022,Lörrach,79539,07621
7023,Lörrach,79540,07621
7024,Lörrach,79541,07621
7025,Lorsch,64653,06251
7026,Lorscheid,54317,06500
7027,Lorup,26901,05954
7028,Lörzweiler,55296,06138
7029,Losheim am See,66679,06872
7030,Lösnich,54492,06532
7031,Lossatal,4808,Error
7032,Loßburg,72290,07455
7033,Lößnitz,8294,Error
7034,Lotte,49504,05404
7035,Lottorf,24878,04624
7036,Lottstetten,79807,07745
7037,Lötzbeuren,56843,06541
7038,Löwenberger Land,16775,033088
7039,Löwenstedt,25864,04673
7040,Löwenstein,74245,07130
7041,Loxstedt,27612,04703
7042,Lübbecke,32312,05741
7043,Lübbenau/Spreewald,3222,Error
7044,Lübben (Spreewald),15907,03546
7045,Lübberstedt,27729,04793
7046,Lübberstorf,23992,038422
7047,Lübbow,29488,05883
7048,Lübeck,23552,0451
7049,Lübeck,23554,0451
7050,Lübeck,23556,0451
7051,Lübeck,23558,0451
7052,Lübeck,23560,0451
7053,Lübeck,23562,0451
7054,Lübeck,23564,0451
7055,Lübeck,23566,0451
7056,Lübeck,23568,0451
7057,Lübeck,23569,0451
7058,Lübeck,23570,0451
7059,Lübesse,19077,038753
7060,Lüblow,19288,038754
7061,Lubmin,17509,038354
7062,Lübow,23972,03841
7063,Lübs,17379,039778
7064,Lübstorf,19069,03867
7065,Lübtheen,19249,038855
7066,Lübz,19386,038731
7067,Lüchow,23898,04536
7068,Lüchow,29439,05843
7069,Lucka,4613,Error
7070,Luckaitztal,3229,Error
7071,Luckau,15926,035456
7072,Luckau (Wendland),29487,05844
7073,Luckenbach,57629,02747
7074,Lückenburg,54424,06504
7075,Luckenwalde,14943,03371
7076,Luckow,17375,039771
7077,Lüdenscheid,58507,02351
7078,Lüdenscheid,58509,02351
7079,Lüdenscheid,58511,02351
7080,Lüdenscheid,58513,02351
7081,Lüdenscheid,58515,02351
7082,Lüder,29394,05824
7083,Lüdersburg,21379,04136
7084,Lüdersdorf,23923,038821
7085,Lüdersfeld,31702,05721
7086,Lüdershagen,18314,038324
7087,Lüdinghausen,59348,02591
7088,Ludwigsau,36251,06621
7089,Ludwigsburg,71634,07141
7090,Ludwigsburg,71636,07141
7091,Ludwigsburg,71638,07141
7092,Ludwigsburg,71640,07141
7093,Ludwigsburg,71642,07141
7094,Ludwigsburg,71672,07144
7095,Ludwigschorgast,95364,09227
7096,Ludwigsfelde,14974,03378
7097,Ludwigshafen am Rhein,67059,0621
7098,Ludwigshafen am Rhein,67061,0621
7099,Ludwigshafen am Rhein,67063,0621
7100,Ludwigshafen am Rhein,67065,0621
7101,Ludwigshafen am Rhein,67067,0621
7102,Ludwigshafen am Rhein,67069,0621
7103,Ludwigshafen am Rhein,67071,0621
7104,Ludwigshöhe,55278,06138
7105,Ludwigslust,19288,038754
7106,Ludwigsstadt,96337,09263
7107,Ludwigswinkel,66996,06393
7108,Lüerdissen,37635,05534
7109,Lug,76848,06392
7110,Lugau,9385,Error
7111,Lügde,32676,05283
7112,Luhden,31711,05722
7113,Luhe-Wildenau,92706,09607
7114,Luhnstedt,24816,04875
7115,Luisenthal,99885,03624
7116,Lülsfeld,97511,09382
7117,Lunden,25774,04882
7118,Lünebach,54597,06556
7119,Lüneburg,21335,04131
7120,Lüneburg,21337,04131
7121,Lüneburg,21339,04131
7122,Lüneburg,21391,04131
7123,Lünen,44532,02306
7124,Lünen,44534,02306
7125,Lünen,44536,02306
7126,Lünne,48480,05977
7127,Lunow-Stolzenhagen,16248,033369
7128,Lunzenau,9328,Error
7129,Lupburg,92331,09492
7130,Lürschau,24850,04621
7131,Lüssow,18442,038327
7132,Lüssow,18276,03843
7133,Lustadt,67363,06347
7134,Lütau,21483,04151
7135,Lütetsburg,26524,04936
7136,Lutherstadt Eisleben,6295,Error
7137,Lütjenburg,24321,04381
7138,Lütjenholm,25842,04674
7139,Lütjensee,22952,04107
7140,Lütjenwestedt,25585,04872
7141,Lütow,17440,038370
7142,Lutter,37318,036083
7143,Lutterbek,24235,04343
7144,Lüttow-Valluhn,19246,038851
7145,Lütz,56290,06746
7146,Lützelbach,64750,06165
7147,Lützen,6686,06381
7148,Lutzerath,56826,02677
7149,Lutzhorn,25355,04123
7150,Lutzingen,89440,09074
7151,Lützkampen,54617,06559
7152,Lützow,19209,038874
7153,Luxem,56729,02651
7154,Lychen,17279,039888
7155,Lykershausen,56346,06771
7156,Maasen,27249,04272
7157,Maasholm,24404,04642
7158,Machern,4827,Error
7159,Macken,56290,06746
7160,Mackenbach,67686,06374
7161,Mackenrode,37318,036083
7162,Mackenrodt,55758,06785
7163,Magdala,99441,036454
7164,Magdeburg,39104,0391
7165,Magdeburg,39106,0391
7166,Magdeburg,39108,0391
7167,Magdeburg,39110,0391
7168,Magdeburg,39112,0391
7169,Magdeburg,39114,0391
7170,Magdeburg,39116,0391
7171,Magdeburg,39118,0391
7172,Magdeburg,39120,0391
7173,Magdeburg,39122,0391
7174,Magdeburg,39124,0391
7175,Magdeburg,39126,0391
7176,Magdeburg,39128,0391
7177,Magdeburg,39130,0391
7178,Magstadt,71106,07159
7179,Mahlberg,77972,07822
7180,Mahlstetten,78601,07429
7181,Mähren,56459,02663
7182,Mähring,95695,09639
7183,Maierhöfen,88167,08384
7184,Maihingen,86747,09087
7185,Maikammer,67487,06321
7186,Mainaschaff,63814,06021
7187,Mainbernheim,97350,09323
7188,Mainburg,84048,08751
7189,Mainhardt,74535,07903
7190,Mainhausen,63533,06182
7191,Mainleus,95336,09229
7192,Mainstockheim,97320,09321
7193,Maintal,63477,06181
7194,Mainz,55116,06131
7195,Mainz,55118,06131
7196,Mainz,55120,06131
7197,Mainz,55122,06131
7198,Mainz,55124,06131
7199,Mainz,55126,06131
7200,Mainz,55127,06131
7201,Mainz,55128,06131
7202,Mainz,55129,06131
7203,Mainz,55130,06131
7204,Mainz,55131,06131
7205,Maisach,82216,08141
7206,Maisborn,56291,06746
7207,Maitenbeth,83558,08072
7208,Maitzborn,55481,06763
7209,Malberg,57629,02747
7210,Malberg,54655,06563
7211,Malbergweich,54655,06563
7212,Malborn,54426,06504
7213,Malchin,17139,03994
7214,Malching,94094,08533
7215,Malchow,17213,039932
7216,Malente,23714,04523
7217,Malgersdorf,84333,09954
7218,Malk Göhren,19294,038758
7219,Mallersdorf-Pfaffenberg,84066,08772
7220,Malliß,19294,038758
7221,Malsburg-Marzell,79429,07626
7222,Malsch,69254,07253
7223,Malsch,76316,07204
7224,Malschwitz - Malešecy,2694,Error
7225,Malsfeld,34323,05664
7226,Malterdingen,79364,07645
7227,Mammelzen,57636,02681
7228,Mammendorf,82291,08145
7229,Mamming,94437,09955
7230,Manching,85077,08459
7231,Mandel,55595,0671
7232,Mandelbachtal,66399,06804
7233,Mandern,54429,06589
7234,Manderscheid,54649,06554
7235,Manderscheid,54531,06572
7236,Manhagen,23738,04363
7237,Mannebach,56769,02657
7238,Mannebach,54441,06581
7239,Mannheim,68159,0621
7240,Mannheim,68161,0621
7241,Mannheim,68163,0621
7242,Mannheim,68165,0621
7243,Mannheim,68167,0621
7244,Mannheim,68169,0621
7245,Mannheim,68199,0621
7246,Mannheim,68219,0621
7247,Mannheim,68229,0621
7248,Mannheim,68239,0621
7249,Mannheim,68259,0621
7250,Mannheim,68305,0621
7251,Mannheim,68307,0621
7252,Mannheim,68309,0621
7253,Mannweiler-Cölln,67822,06362
7254,Mansfeld,6343,Error
7255,Mantel,92708,09605
7256,Manubach,55413,Error
7257,Marbach am Neckar,71672,07144
7258,Marbach am Neckar,71711,07148
7259,Marburg,35037,06421
7260,Marburg,35039,06421
7261,Marburg,35041,06421
7262,Marburg,35043,06421
7263,Marburg,35094,06420
7264,March,79232,07665
7265,Margetshöchheim,97276,0931
7266,Mariaposching,94553,09962
7267,Marienberg,9496,Error
7268,Marienfels,56357,06772
7269,Marienfließ,16945,033968
7270,Marienhafe,26529,04934
7271,Marienhausen,56269,02689
7272,Marienheide,51709,02261
7273,Marienmünster,37696,05276
7274,Marienrachdorf,56242,02626
7275,Mariental,38368,05357
7276,Marienwerder,16348,033397
7277,Maring-Noviand,54484,06535
7278,Marisfeld,98530,036844
7279,Markdorf,88677,07544
7280,Markersdorf,2829,Error
7281,Markgröningen,71706,07145
7282,Märkisch Buchholz,15748,033765
7283,Märkische Heide,15913,035473
7284,Märkische Höhe,15377,033433
7285,Märkisch Linden,16818,033920
7286,Märkisch Luch,14715,033877
7287,Markkleeberg,4416,Error
7288,Marklkofen,84163,08732
7289,Marklohe,31608,05021
7290,Markneukirchen,8258,Error
7291,Markranstädt,4420,Error
7292,Marktbergel,91613,09845
7293,Markt Berolzheim,91801,09146
7294,Markt Bibart,91477,09162
7295,Marktbreit,97340,Error
7296,Markt Einersheim,97348,09323
7297,Markt Erlbach,91459,09107
7298,Marktgraitz,96257,09264
7299,Marktheidenfeld,97828,09391
7300,Markt Indersdorf,85229,08136
7301,Marktl,84533,08678
7302,Marktleugast,95352,09255
7303,Marktleuthen,95168,09285
7304,Markt Nordheim,91478,09842
7305,Marktoberdorf,87616,08342
7306,Marktoffingen,86748,09087
7307,Marktredwitz,95615,09231
7308,Markt Rettenbach,87733,08392
7309,Marktrodach,96364,09261
7310,Marktschellenberg,83487,08650
7311,Marktschorgast,95509,09227
7312,Markt Schwaben,85570,08121
7313,Marktsteft,97342,09332
7314,Markt Taschendorf,91480,Error
7315,Markt Wald,86865,08262
7316,Marktzeuln,96275,09574
7317,Markvippach,99195,036204
7318,Marl,45768,02365
7319,Marl,45770,02365
7320,Marl,45772,02365
7321,Marl,49448,05443
7322,Marloffstein,91080,09131
7323,Marlow,18337,038221
7324,Marne,25709,04851
7325,Marnerdeich,25709,04851
7326,Marnheim,67297,06352
7327,Maroldsweisach,96126,09532
7328,Marolterode,99994,Error
7329,Maroth,56271,02601
7330,Marpingen,66646,06851
7331,Marquartstein,83250,08641
7332,Marsberg,34431,02992
7333,Marschacht,21436,04176
7334,Martensrade,24238,04384
7335,Martfeld,27327,04255
7336,Marth,37318,036083
7337,Martinroda,98693,03677
7338,Martinsheim,97340,09332
7339,Martinshöhe,66894,06372
7340,Martinstein,55627,06754
7341,Marxen,21439,04185
7342,Marxheim,86688,09094
7343,Marxzell,76359,07248
7344,Marzhausen,57627,02662
7345,Marzling,85417,08161
7346,Masburg,56761,02653
7347,Maselheim,88437,07356
7348,Maßbach,97711,09733
7349,Massenbachhausen,74252,07138
7350,Massen-Niederlausitz,3238,Error
7351,Massen-Niederlausitz,3246,05702
7352,Masserberg,98666,036870
7353,Massing,84323,08724
7354,Maßweiler,66506,06334
7355,Mastershausen,56869,06545
7356,Masthorn,54597,06556
7357,Matzenbach,66909,06384
7358,Matzerath,54597,06556
7359,Mauchenheim,67294,06352
7360,Mauden,57520,02747
7361,Mauel,54649,06554
7362,Mauer,69256,06226
7363,Mauern,85419,08764
7364,Mauerstetten,87665,08341
7365,Maulbronn,75433,07043
7366,Maulburg,79689,07622
7367,Mauschbach,66500,06338
7368,Mauth,94151,08557
7369,Maxdorf,67133,Error
7370,Maxhütte-Haidhof,93142,09471
7371,Maxsain,56244,02666
7372,Mayen,56727,02651
7373,Mayen,56729,02651
7374,Mayschoß,53508,02643
7375,Mechelroda,99441,036454
7376,Mechernich,53894,02443
7377,Mechow,23909,04541
7378,Mechtersen,21358,04178
7379,Meckel,54636,06561
7380,Meckenbach,55606,06752
7381,Meckenbach,55767,06782
7382,Meckenbeuren,88074,07542
7383,Meckenheim,53340,02225
7384,Meckenheim,67149,06326
7385,Meckesheim,74909,06226
7386,Medard,67744,06382
7387,Meddersheim,55566,06751
7388,Meddewade,23847,04534
7389,Medebach,59964,02982
7390,Medelby,24994,04605
7391,Medlingen,89441,09073
7392,Medow,17391,039721
7393,Meeder,96484,09564
7394,Meerane,8393,Error
7395,Meerbeck,31715,05721
7396,Meerbusch,40667,02132
7397,Meerbusch,40668,02151
7398,Meerbusch,40670,02132
7399,Meerfeld,54531,06572
7400,Meersburg,88709,07532
7401,Meesiger,17111,039994
7402,Meezen,24594,04871
7403,Megesheim,86750,09093
7404,Meggerdorf,24799,04624
7405,Meggerdorf,24861,04885
7406,Mehlbach,67735,06301
7407,Mehlbek,25588,04821
7408,Mehlingen,67678,06303
7409,Mehlmeisel,95694,09272
7410,Mehmels,98634,036941
7411,Mehna,4626,Error
7412,Mehren,57635,02686
7413,Mehren,54552,06592
7414,Mehring,84561,08677
7415,Mehring,54346,06502
7416,Mehrstetten,72537,07381
7417,Meiersberg,17375,039771
7418,Meinborn,56584,02639
7419,Meine,38527,05304
7420,Meinersen,38536,05372
7421,Meinerzhagen,58540,02354
7422,Meineweh,6721,Error
7423,Meinhard,37276,05651
7424,Meinheim,91802,09146
7425,Meiningen,98617,03693
7426,Meisburg,54570,06591
7427,Meisenheim,55590,06753
7428,Meißen,1662,Error
7429,Meißenheim,77974,07824
7430,Meißner,37290,05657
7431,Meitingen,86405,08271
7432,Melbeck,21406,04134
7433,Melchow,16230,033362
7434,Meldorf,25704,04832
7435,Melle,49324,05422
7436,Melle,49326,05422
7437,Melle,49328,05422
7438,Mellenthin,17429,038379
7439,Mellingen,99441,036454
7440,Mellinghausen,27249,04272
7441,Mellrichstadt,97638,09776
7442,Melsbach,56581,02634
7443,Melsdorf,24109,0431
7444,Melsungen,34212,05661
7445,Melz,17209,Error
7446,Memmelsdorf,96117,09505
7447,Memmingen,87700,08331
7448,Memmingerberg,87766,08331
7449,Menden,58706,02373
7450,Menden,58708,02373
7451,Menden,58710,02373
7452,Mendig,56743,02652
7453,Mengen,88512,07572
7454,Mengerschied,55490,06765
7455,Mengerskirchen,35794,06476
7456,Mengkofen,84152,08733
7457,Menningen,54310,06585
7458,Menslage,49637,05437
7459,Menzendorf,23923,038821
7460,Meppen,49716,05931
7461,Merching,86504,08233
7462,Merchweiler,66589,06825
7463,Merdingen,79291,07668
7464,Merenberg,35799,06471
7465,Mering,86415,08233
7466,Merkelbach,57629,02747
7467,Merkendorf,91732,09875
7468,Merklingen,89188,07337
7469,Merlscheid,54597,06556
7470,Mermuth,56283,06742
7471,Merschbach,54426,06504
7472,Merseburg,6217,Error
7473,Mertendorf,6618,Error
7474,Mertendorf,7619,0721
7475,Mertesdorf,54318,0651
7476,Mertesheim,67271,06359
7477,Mertingen,86690,09078
7478,Mertloch,56753,02654
7479,Merxheim,55627,06754
7480,Merzalben,66978,06333
7481,Merzdorf,4932,05422
7482,Merzen,49586,05465
7483,Merzenich,52399,02421
7484,Merzhausen,79249,0761
7485,Merzig,66663,06861
7486,Merzkirchen,54439,06581
7487,Merzweiler,67746,06788
7488,Meschede,59872,0291
7489,Mescherin,16307,033332
7490,Mesekenhagen,17498,03834
7491,Mesenich,56820,02673
7492,Mespelbrunn,63875,06092
7493,Messel,64409,06159
7494,Messenkamp,31867,05043
7495,Messerich,54636,06561
7496,Messingen,49832,05902
7497,Meßkirch,88605,07570
7498,Meßstetten,72469,07579
7499,Mestlin,19374,038728
7500,Metelen,48629,02556
7501,Metelsdorf,23972,03841
7502,Metten,94526,0991
7503,Mettendorf,54675,06522
7504,Mettenheim,84562,08637
7505,Mettenheim,67582,06246
7506,Metterich,54634,06561
7507,Mettingen,49497,05452
7508,Mettlach,66693,06868
7509,Mettmann,40822,02104
7510,Mettweiler,55777,Error
7511,Metzenhausen,55481,06763
7512,Metzingen,72555,07123
7513,Meudt,56414,06435
7514,Meura,98744,Error
7515,Meusebach,7646,07245
7516,Meuselwitz,4610,Error
7517,Meuspath,53520,02695
7518,Meyenburg,16945,033968
7519,Meyn,24980,04639
7520,Michelau i.OFr.,96247,09574
7521,Michelau i.Steigerwald,97513,09528
7522,Michelbach,57610,02681
7523,Michelbach,56288,06762
7524,Michelbach an der Bilz,74544,0791
7525,Michelfeld,74545,0791
7526,Michelsneukirchen,93185,09467
7527,Michelstadt,64720,06061
7528,Michendorf,14552,033205
7529,Mickhausen,86866,08204
7530,Midlum,25938,04681
7531,Miehlen,56357,06772
7532,Mielkendorf,24247,0431
7533,Miellen,56132,02603
7534,Miesbach,83714,08025
7535,Miesitz,7819,07462
7536,Mietingen,88487,07356
7537,Milda,7751,Error
7538,Mildenau,9456,09937
7539,Mildstedt,25866,04848
7540,Millienhagen-Oebelitz,18461,038324
7541,Milmersdorf,17268,039886
7542,Milow,19294,038758
7543,Milow,19300,038792
7544,Milower Land,14715,033877
7545,Miltach,93468,09944
7546,Miltenberg,63897,09371
7547,Mindelheim,87719,08261
7548,Mindelstetten,93349,09446
7549,Minden,32423,0571
7550,Minden,32425,0571
7551,Minden,32427,0571
7552,Minden,32429,0571
7553,Minden,54310,06585
7554,Minderlittgen,54518,06535
7555,Minfeld,76872,06349
7556,Minheim,54518,06535
7557,Mintraching,93098,09406
7558,Mirow,17252,039829
7559,Misselberg,56377,02604
7560,Missen-Wilhams,87547,08320
7561,Mistelbach,95511,09201
7562,Mistelgau,95490,09206
7563,Mistorf,18276,03843
7564,Mittelangeln,24986,04633
7565,Mittelbiberach,88441,07351
7566,Mittelbrunn,66851,06307
7567,Mitteleschenbach,91734,09871
7568,Mittelfischbach,56370,06486
7569,Mittelherwigsdorf,2763,04742
7570,Mittelhof,57537,02742
7571,Mittelneufnach,86868,08262
7572,Mittelnkirchen,21720,04142
7573,Mittelpöllnitz,7819,07462
7574,Mittelreidenbach,55758,06785
7575,Mittelsinn,97785,09356
7576,Mittelsömmern,99955,036041
7577,Mittelstenahe,21770,04771
7578,Mittelstetten,82293,08145
7579,Mittelstrimmig,56858,Error
7580,Mittenaar,35756,02772
7581,Mittenwald,82481,08823
7582,Mittenwalde,15749,033764
7583,Mittenwalde,17268,039886
7584,Mitterfels,94360,09961
7585,Mitterskirchen,84335,08725
7586,Mitterteich,95666,09633
7587,Mittweida,9648,09564
7588,Mitwitz,96268,09266
7589,Mixdorf,15299,033606
7590,Möckern,39279,039245
7591,Möckern,39291,039225
7592,Möckern,7646,07245
7593,Möckmühl,74219,06298
7594,Mockrehna,4862,02545
7595,Modautal,64397,06167
7596,Mödingen,89426,09076
7597,Moers,47441,02841
7598,Moers,47443,02841
7599,Moers,47445,02841
7600,Moers,47447,02841
7601,Mogendorf,56424,02623
7602,Mögglingen,73563,07174
7603,Möglingen,71696,07141
7604,Mohlsdorf-Teichwolframsdorf,7987,07675
7605,Möhnesee,59519,02924
7606,Möhnsen,21493,04151
7607,Möhrendorf,91096,09133
7608,Mohrkirch,24392,04641
7609,Mohrkirch,24405,04646
7610,Mohrkirch,24891,Error
7611,Moisburg,21647,04165
7612,Molauer Land,6618,Error
7613,Molbergen,49696,04479
7614,Molfsee,24113,0431
7615,Möllenbeck,17237,039826
7616,Möllenbeck,19300,038792
7617,Möllenhagen,17219,039928
7618,Mölln,17091,039602
7619,Mölln,23879,04542
7620,Molsberg,56414,06435
7621,Molschleben,99869,036202
7622,Mölschow,17449,038371
7623,Mölsheim,67591,06243
7624,Moltzow,17194,039926
7625,Molzhain,57520,02747
7626,Mömbris,63776,06029
7627,Mömlingen,63853,06022
7628,Mommenheim,55278,06138
7629,Mönchberg,63933,09372
7630,Mönchengladbach,41061,02161
7631,Mönchengladbach,41063,02161
7632,Mönchengladbach,41065,02161
7633,Mönchengladbach,41066,02161
7634,Mönchengladbach,41068,02161
7635,Mönchengladbach,41069,02161
7636,Mönchengladbach,41169,02161
7637,Mönchengladbach,41179,02161
7638,Mönchengladbach,41189,02161
7639,Mönchengladbach,41199,02161
7640,Mönchengladbach,41236,02161
7641,Mönchengladbach,41238,02161
7642,Mönchengladbach,41239,02161
7643,Mönchgut,18586,038303
7644,Mönchhagen,18182,0381
7645,Mönchpfiffel-Nikolausrieth,6556,Error
7646,Mönchsdeggingen,86751,09088
7647,Mönchsroth,91614,09851
7648,Mönchweiler,78087,07721
7649,Monheim,86653,09091
7650,Monheim am Rhein,40789,02173
7651,Mönkeberg,24248,0431
7652,Mönkebude,17375,039771
7653,Mönkhagen,23619,0451
7654,Mönkloh,24576,04192
7655,Monreal,56729,02651
7656,Monschau,52156,02472
7657,Monsheim,67590,06243
7658,Mönsheim,71297,07044
7659,Monstab,4617,Error
7660,Montabaur,56410,02602
7661,Möntenich,56754,02672
7662,Monzelfeld,54472,06531
7663,Monzernheim,55234,06737
7664,Monzingen,55569,06751
7665,Moordiek,25597,04828
7666,Moorenweis,82272,08146
7667,Moorhusen,25554,04823
7668,Moormerland,26802,04954
7669,Moorrege,25436,04122
7670,Moorweg,26427,04971
7671,Moos,94554,09938
7672,Moos,78345,07732
7673,Moosach,85665,08091
7674,Moosbach,92709,09656
7675,Moosburg,85368,08761
7676,Moosburg,88422,07582
7677,Moosinning,85452,08123
7678,Moosthenning,84164,08731
7679,Moraas,19230,038852
7680,Morbach,54497,06533
7681,Mörel,24594,04871
7682,Mörfelden-Walldorf,64546,06105
7683,Moringen,37186,05503
7684,Moritzburg,1468,Error
7685,Moritzheim,56865,06545
7686,Mörlen,57583,02747
7687,Mörlenbach,69509,06209
7688,Mörnsheim,91804,09145
7689,Morsbach,51597,02294
7690,Mörsbach,57629,02747
7691,Mörschbach,55494,06764
7692,Morscheid,54317,06500
7693,Morschen,34326,05664
7694,Morschheim,67294,06352
7695,Mörschied,55758,06785
7696,Mörsdorf,56290,06746
7697,Mörsdorf,7646,07245
7698,Mörsfeld,67808,06357
7699,Morshausen,56283,06742
7700,Mörstadt,67591,06243
7701,Mosbach,74821,06261
7702,Mosbruch,56767,02657
7703,Moschheim,56424,02623
7704,Moselkern,56254,02672
7705,Möser,39175,039292
7706,Möser,39291,039225
7707,Mossautal,64756,06062
7708,Moßbach,7907,Error
7709,Mössingen,72116,07473
7710,Motten,97786,09748
7711,Möttingen,86753,09083
7712,Mötzing,93099,09480
7713,Mötzingen,71159,07452
7714,Moxa,7381,Error
7715,Mözen,23795,04551
7716,Much,53804,02245
7717,Mucheln,24238,04384
7718,Mücheln (Geiseltal),6249,Error
7719,Mücheln (Geiseltal),6255,Error
7720,Mücheln (Geiseltal),6268,Error
7721,Mücheln (Geiseltal),6632,Error
7722,Muchow,19300,038792
7723,Mücka - Mikow,2906,Error
7724,Mücke,35325,06401
7725,Mückeln,54558,06573
7726,Mudau,69427,06284
7727,Müden (Aller),38539,05375
7728,Mudenbach,57614,02684
7729,Müden (Mosel),56254,02672
7730,Mudersbach,57555,0271
7731,Mudershausen,65623,06430
7732,Mügeln,4769,Error
7733,Muggensturm,76461,07222
7734,Müglitztal,1809,Error
7735,Mühbrook,24582,04322
7736,Mühlacker,75417,07041
7737,Mühlau,9241,Error
7738,Mühlberg/Elbe,4895,Error
7739,Mühlberg/Elbe,4931,Error
7740,Mühldorf a. Inn,84453,08631
7741,Mühlenbach,77796,07832
7742,Mühlenbarbek,25548,04822
