,Unnamed: 0,ort,plz,vorwahl
195,195,Alt Duvenstedt,24811,04336
196,196,Altefähr,18573,038306
197,197,Alteglofsheim,93087,09453
198,198,Altena,58762,02352
199,199,Altenahr,53505,02643
200,200,Altenbamberg,55585,0671
201,201,Altenbeken,33184,05255
202,202,Altenberg,1773,035056
203,203,Altenberg,1778,035054
204,204,Altenberga,7768,036424
205,205,Altenberge,48341,02505
206,206,Altenbeuthen,7338,03671
207,207,Altenbuch,97901,09392
208,208,Altenburg,4600,03447
209,209,Altendiez,65624,06432
210,210,Altendorf,92540,09675
211,211,Altendorf,96146,09545
212,212,Altenglan,66885,06381
213,213,Altenhagen,17091,039602
214,214,Altenhausen,39343,039202
215,215,Altenhof,24340,04351
216,216,Altenhof,17209,039922
217,217,Altenholz,24161,04349
218,218,Altenkirchen,66903,06386
219,219,Altenkirchen,18556,038391
220,220,Altenkirchen (Westerwald),57610,02681
221,221,Altenkrempe,23730,04561
222,222,Altenkunstadt,96264,09572
223,223,Altenmarkt an der Alz,83352,08621
224,224,Altenmedingen,29575,05807
225,225,Altenmoor,25335,04121
226,226,Altenmünster,86450,08295
227,227,Altenpleen,18445,038323
228,228,Altenriet,72657,07127
229,229,Altenstadt,63674,06047
230,230,Altenstadt,86972,08861
231,231,Altenstadt,89281,08337
232,232,Altenstadt an der Waldnaab,92665,09602
233,233,Altensteig,72213,07453
234,234,Altenthann,93177,09408
235,235,Altentreptow,17087,03961
236,236,Alterkülz,56288,06762
237,237,Altertheim,97237,09307
238,238,Altfraunhofen,84169,08705
239,239,Althegnenberg,82278,08202
240,240,Altheim,88499,07371
241,241,Altheim,89605,07391
242,242,Altheim (Alb),89174,07340
243,243,Althengstett,75382,07051
244,244,Althornbach,66484,06339
245,245,Althütte,71566,07191
246,246,Althüttendorf,16247,033361
247,247,Altkalen,17179,039971
248,248,Alt Krenzlin,19288,038754
249,249,Altlandsberg,15345,03341
250,250,Altlay,56858,06543
251,251,Altleiningen,67316,06356
252,252,Altleiningen,67317,06359
253,253,Altlußheim,68804,06205
254,254,Altmannstein,93336,09446
255,255,Altmärkische Höhe,39606,039328
256,256,Altmärkische Höhe,39615,039386
257,257,Altmärkische Wische,39615,039386
258,258,Alt Meteln,19069,03867
259,259,Altmittweida,9648,09564
260,260,Alt Mölln,23881,04542
261,261,Altomünster,85250,08254
262,262,Altötting,84503,08671
263,263,Altrich,54518,06535
264,264,Altrip,67122,06236
265,265,Altscheid,54636,06561
266,266,Alt Schwerin,17214,039927
267,267,Altshausen,88361,07584
268,268,Altstrimmig,56858,06542
269,269,Alt Sührkow,17166,03996
270,270,Alt Tellin,17129,039999
271,271,Alt Tucheband,15328,033472
272,272,Altusried,87452,08373
273,273,Altwarp,17375,039771
274,274,Altweidelbach,55469,06761
275,275,Altwigshagen,17379,039778
276,276,Alt Zachun,19230,038852
277,277,Alt Zauche-Wußwerk,15913,035473
278,278,Alveslohe,25486,04193
279,279,Alzenau,63755,06023
280,280,Alzey,55232,06731
281,281,Amberg,92224,08249
282,282,Amberg,86854,08249
283,283,Amelinghausen,21385,04132
284,284,Amerang,83123,08075
285,285,Amerdingen,86735,09089
286,286,Am Ettersberg,99439,036452
287,287,Am Großen Bruch,39393,039401
288,288,Ammeldingen an der Our,54675,06522
289,289,Ammeldingen bei Neuerburg,54673,06564
290,290,Am Mellensee,15838,033703
291,291,Ammerbuch,72119,07032
292,292,Ammerndorf,90614,09105
293,293,Ammersbek,22949,04102
294,294,Ammerthal,92260,09621
295,295,Am Ohmberg,37345,036072
296,296,Amöneburg,35287,06422
297,297,Amorbach,63916,09373
298,298,Ampfing,84539,08636
299,299,Am Salzhaff,18233,038294
300,300,Amstetten,73340,07323
301,301,Amt Creuzburg,99831,036926
302,302,Amt Neuhaus,19273,038845
303,303,Amtsberg,9439,0371
304,304,Amt Wachsenburg,99334,0361
305,305,Amtzell,88279,07522
306,306,Andechs,82346,08157
307,307,Anderlingen,27446,04284
308,308,Andernach,56626,02632
309,309,An der Poststraße,6647,034465
310,310,An der Schmücke,6577,06198
311,311,Andervenne,49832,05902
312,312,Andisleben,99189,036201
313,313,Angelbachtal,74918,07265
314,314,Angelburg,35719,06464
315,315,Anger,83454,08656
316,316,Angermünde,16278,033337
317,317,Angern,39326,039206
318,318,Angern,39517,039365
319,319,Anhausen,56584,02639
320,320,Ankershagen,17219,039928
321,321,Anklam,17389,03971
322,322,Ankum,49577,05462
323,323,Annaberg-Buchholz,9456,09937
324,324,Annaburg,6925,06228
325,325,Annweiler am Trifels,76855,06346
326,326,Anröchte,59609,02927
327,327,Ansbach,91522,0981
328,328,Anschau,56729,02651
329,329,Antdorf,82387,08801
330,330,Antrifttal,36326,06692
331,331,Antweiler,53533,02693
332,332,Anzing,85646,08121
333,333,Apelern,31552,05723
334,334,Apen,26689,04489
335,335,Apenburg-Winterfeld,38486,039008
336,336,Apensen,21641,04167
337,337,Apfeldorf,86974,08869
338,338,Apfeltrach,87742,08267
339,339,Apolda,99510,03644
340,340,Appel,21279,04165
341,341,Appen,25482,04101
342,342,Appenheim,55437,06725
343,343,Appenweier,77767,07805
344,344,Arbach,56769,02657
345,345,Arberg,91722,09836
346,346,Aremberg,53533,02693
347,347,Arendsee (Altmark),39619,039384
348,348,Arenrath,54518,06535
349,349,Arenshausen,37318,036083
350,350,Aresing,86561,08445
351,351,Arft,56729,02651
352,352,Argenbühl,88260,07566
353,353,Argenschwang,55595,0671
354,354,Argenthal,55496,06764
355,355,Arholzen,37627,05532
356,356,Arkebek,25767,04835
357,357,Arlewatt,25860,04846
358,358,Armsheim,55288,06734
359,359,Armstedt,24616,04324
360,360,Armstorf,21769,04773
361,361,Arnbruck,93471,09945
362,362,Arneburg,39596,039321
363,363,Arnis,24399,04642
364,364,Arnsberg,59755,02932
365,365,Arnsberg,59757,02932
366,366,Arnsberg,59759,02932
367,367,Arnsberg,59821,02932
368,368,Arnsberg,59823,02932
369,369,Arnschwang,93473,09977
370,370,Arnsdorf,1477,033838
371,371,Arnshöfen,56244,02666
372,372,Arnstadt,99310,03628
373,373,Arnstein,97450,09728
374,374,Arnstein,6456,06158
375,375,Arnstorf,94424,08723
376,376,Arpsdorf,24634,04321
377,377,Arrach,93474,09946
378,378,Artern,6556,03466
379,379,Artlenburg,21380,04139
380,380,Arzbach,56337,02620
381,381,Arzberg,4886,035386
382,382,Arzberg,95659,09233
383,383,Arzfeld,54687,06550
384,384,Asbach,53567,02683
385,385,Asbach,55758,06785
386,386,Asbach-Bäumenheim,86663,0906
387,387,Asbach-Sickenberg,37318,036083
388,388,Ascha,94347,09428
389,389,Aschaffenburg,63739,06021
390,390,Aschaffenburg,63741,06021
391,391,Aschaffenburg,63743,06021
392,392,Aschau am Inn,84544,08638
393,393,Aschau im Chiemgau,83229,08057
394,394,Aschbach,67753,06304
395,395,Ascheberg,59387,02599
396,396,Ascheberg,24326,04526
397,397,Ascheffel,24358,04353
398,398,Aschersleben,6449,03473
399,399,Aschheim,85609,089
400,400,Asendorf,21271,04184
401,401,Asendorf,27330,04253
402,402,Aspach,71546,07191
403,403,Asperg,71679,07141
404,404,Aspisheim,55459,06721
405,405,Assamstadt,97959,06294
406,406,Asselfingen,89176,07345
407,407,Aßlar,35614,06441
408,408,Aßling,85617,08092
409,409,Astert,57627,02662
410,410,Attendorn,57439,02722
411,411,Attenhausen,56370,06486
412,412,Attenhofen,84091,08754
413,413,Attenkirchen,85395,08168
414,414,Attenweiler,88448,07357
415,415,Atting,94348,09421
416,416,Atzelgift,57629,02747
417,417,Au,79280,0761
418,418,Au am Rhein,76474,07245
419,419,Aub,97239,09335
420,420,Aubstadt,97633,09761
421,421,Auderath,56766,02676
422,422,Aue-Bad Schlema,8280,03771
423,423,Aue-Bad Schlema,8301,03772
424,424,Auel,56357,06772
425,425,Auen,55569,06751
426,426,Auengrund,98673,03686
427,427,Auenwald,71549,07191
428,428,Auerbach,9392,03721
429,429,Auerbach,94530,09901
430,430,Auerbach in der Oberpfalz,91275,09643
431,431,Auerbach/Vogtland,8209,03744
432,432,Auetal,31749,05752
433,433,Aufhausen,93089,09454
434,434,Aufseß,91347,09274
435,435,Auggen,79424,07635
436,436,Augsburg,86150,0821
437,437,Augsburg,86152,0821
438,438,Augsburg,86153,0821
439,439,Augsburg,86154,0821
440,440,Augsburg,86156,0821
441,441,Augsburg,86157,0821
442,442,Augsburg,86159,0821
443,443,Augsburg,86161,0821
444,444,Augsburg,86163,0821
445,445,Augsburg,86165,0821
446,446,Augsburg,86167,0821
447,447,Augsburg,86169,0821
448,448,Augsburg,86179,0821
449,449,Augsburg,86199,0821
450,450,Augustdorf,32832,05237
451,451,Augustusburg,9573,037291
452,452,Auhagen,31553,05725
453,453,Auhausen,86736,09832
454,454,Au in der Hallertau,84072,08752
455,455,Aukrug,24613,04873
456,456,Aulendorf,88326,07525
457,457,Aull,65582,06432
458,458,Auma-Weidatal,7955,036626
459,459,Aumühle,21521,04104
460,460,Aura a.d.Saale,97717,09704
461,461,Aurach,91589,09804
462,462,Aurachtal,91086,09132
463,463,Aura im Sinngrund,97773,09356
464,464,Aurich,26603,04941
465,465,Aurich,26605,04941
466,466,Aurich,26607,04941
467,467,Ausacker,24975,04634
468,468,Ausleben,39393,039402
469,469,Außernzell,94532,09903
470,470,Auufer,25548,04822
471,471,Auw an der Kyll,54664,06562
472,472,Auw bei Prüm,54597,06556
473,473,Aventoft,25927,04664
474,474,Averlak,25715,04855
475,475,Axstedt,27729,04793
476,476,Aying,85653,08095
477,477,Ayl,54441,06581
478,478,Aystetten,86482,0821
479,479,Baabe,18586,038303
480,480,Baar,86674,08276
481,481,Baar,56729,02651
482,482,Baar-Ebenhausen,85107,08453
483,483,Babenhausen,64832,06073
484,484,Babenhausen,87727,08333
485,485,Babensham,83547,08074
486,486,Bach an der Donau,93090,09403
487,487,Bacharach,55422,06743
488,488,Bachenberg,57610,02681
489,489,Bachhagel,89429,09077
490,490,Bächingen a.d.Brenz,89431,07325
491,491,Backnang,71522,07191
492,492,Bad Abbach,93077,09405
493,493,Bad Aibling,83043,08061
494,494,Bad Alexandersbad,95680,09232
495,495,Bad Arolsen,34454,05691
496,496,Bad Bayersoien,82435,08845
497,497,Bad Bellingen,79415,07635
498,498,Bad Belzig,14806,033841
499,499,Bad Bentheim,48455,05924
500,500,Badbergen,49635,05433
501,501,Bad Bergzabern,76887,06343
502,502,Bad Berka,99438,036458
503,503,Bad Berleburg,57319,02751
504,504,Bad Berneck im Fichtelgebirge,95460,09273
505,505,Bad Bertrich,56864,02674
506,506,Bad Bevensen,29549,05821
507,507,Bad Bibra,6647,034465
508,508,Bad Birnbach,84364,08563
509,509,Bad Blankenburg,7422,07139
510,510,Bad Bocklet,97708,09708
511,511,Bad Bodenteich,29389,05824
512,512,Bad Boll,73087,07164
513,513,Bad Brambach,8648,08293
514,514,Bad Bramstedt,24576,04192
515,515,Bad Breisig,53498,02642
516,516,Bad Brückenau,97769,09741
517,517,Bad Buchau,88422,07582
518,518,Bad Camberg,65520,06434
519,519,Baddeckenstedt,38271,05345
520,520,Bad Ditzenbach,73312,07331
521,521,Bad Ditzenbach,73342,07334
522,522,Bad Ditzenbach,73345,07335
523,523,Bad Doberan,18209,038203
524,524,Bad Driburg,33014,05253
525,525,Bad Düben,4849,02557
526,526,Bad Dürkheim,67098,06322
527,527,Bad Dürrenberg,6231,03462
528,528,Bad Dürrheim,78073,07726
529,529,Bad Eilsen,31707,05722
530,530,Bad Elster,8645,08295
531,531,Badem,54657,06563
532,532,Bad Ems,56130,02603
533,533,Bad Emstal,34308,05624
534,534,Baden-Baden,76530,07221
535,535,Baden-Baden,76532,07221
536,536,Baden-Baden,76534,07221
537,537,Bad Endbach,35080,02776
538,538,Badendorf,23619,0451
539,539,Bad Endorf,83093,08053
540,540,Badenhard,56291,06746
541,541,Badenheim,55576,06701
542,542,Badenweiler,79410,07632
543,543,Bad Essen,49152,05472
544,544,Bad Fallingbostel,29683,05161
545,545,Bad Feilnbach,83075,08064
546,546,Bad Frankenhausen/Kyffhäuser,6567,034671
547,547,Bad Freienwalde (Oder),16259,033368
548,548,Bad Friedrichshall,74177,07136
549,549,Bad Füssing,94072,08531
550,550,Bad Gandersheim,37581,05382
551,551,Bad Gottleuba-Berggießhübel,1816,035023
552,552,Bad Griesbach i.Rottal,94086,08532
553,553,Bad Grönenbach,87730,08334
554,554,Bad Grund,37539,05327
555,555,Bad Harzburg,38667,05322
556,556,Bad Heilbrunn,83670,08046
557,557,Bad Herrenalb,76332,07083
558,558,Bad Hersfeld,36251,06621
559,559,Bad Hindelang,87541,08324
560,560,Bad Homburg vor der Höhe,61348,06172
561,561,Bad Homburg vor der Höhe,61350,06172
562,562,Bad Homburg vor der Höhe,61352,069
563,563,Bad Honnef,53604,02224
564,564,Bad Hönningen,53547,02638
565,565,Bad Hönningen,53557,02635
566,566,Bad Iburg,49186,05403
567,567,Bad Karlshafen,34385,05672
568,568,Bad Kissingen,97688,0971
569,569,Bad Kleinen,23996,038423
570,570,Bad Klosterlausnitz,7639,036601
571,571,Bad Kohlgrub,82433,08845
572,572,Bad König,64732,06063
573,573,Bad Königshofen im Grabfeld,97631,09761
574,574,Bad Köstritz,7586,036606
575,575,Bad Kötzting,93444,09941
576,576,Bad Kreuznach,55543,0671
577,577,Bad Kreuznach,55545,0671
578,578,Bad Kreuznach,55583,0671
579,579,Bad Krozingen,79189,07633
580,580,Bad Laasphe,57334,02753
581,581,Bad Laer,49196,05424
582,582,Bad Langensalza,99947,03603
583,583,Bad Lausick,4651,02802
584,584,Bad Lauterberg im Harz,37431,05524
585,585,Bad Liebenstein,36448,036961
586,586,Bad Liebenwerda,4895,035363
587,587,Bad Liebenwerda,4924,035341
588,588,Bad Liebenwerda,4931,035342
589,589,Bad Liebenzell,75378,07052
590,590,Bad Lippspringe,33175,05252
591,591,Bad Lobenstein,7356,07173
592,592,Bad Marienberg (Westerwald),56470,02661
593,593,Bad Mergentheim,97980,07931
594,594,Bad Münder am Deister,31848,05042
595,595,Bad Münstereifel,53902,02253
596,596,Bad Muskau - Mužakow,2953,035771
597,597,Bad Nauheim,61231,06032
598,598,Bad Nenndorf,31542,05723
599,599,Bad Neualbenreuth,95698,09638
600,600,Bad Neuenahr-Ahrweiler,53474,02641
601,601,Bad Neustadt an der Saale,97616,09771
602,602,Bad Oeynhausen,32545,05731
603,603,Bad Oeynhausen,32547,05731
604,604,Bad Oeynhausen,32549,05731
605,605,Bad Oldesloe,23843,04531
606,606,Bad Orb,63619,06052
607,607,Bad Peterstal-Griesbach,72250,07441
608,608,Bad Peterstal-Griesbach,77740,07806
609,609,Bad Pyrmont,31812,05281
610,610,Bad Rappenau,74906,07264
611,611,Bad Reichenhall,83435,08651
612,612,Bad Rippoldsau-Schapbach,77776,07440
613,613,Bad Rodach,96476,09564
614,614,Bad Rothenfelde,49214,05424
615,615,Bad Saarow,15526,033631
616,616,Bad Sachsa,37441,05523
617,617,Bad Säckingen,79713,07761
618,618,Bad Salzdetfurth,31162,05063
619,619,Bad Salzschlirf,36364,06648
620,620,Bad Salzuflen,32105,05222
621,621,Bad Salzuflen,32107,05222
622,622,Bad Salzuflen,32108,05222
623,623,Bad Salzungen,36433,03695
624,624,Bad Salzungen,36469,03695
625,625,Bad Sassendorf,59505,02945
626,626,Bad Saulgau,88348,07583
627,627,Bad Schandau,1814,0381
628,628,Bad Schmiedeberg,6905,034925
629,629,Bad Schönborn,76669,07253
630,630,Bad Schussenried,88427,07583
631,631,Bad Schwalbach,65307,06124
632,632,Bad Schwartau,23611,0451
633,633,Bad Segeberg,23795,04551
634,634,Bad Sobernheim,55566,06751
635,635,Bad Soden am Taunus,65812,06196
636,636,Bad Soden-Salmünster,63628,06056
637,637,Bad Sooden-Allendorf,37242,05652
638,638,Bad Staffelstein,96231,09573
639,639,Bad Steben,95138,09288
640,640,Bad Sulza,99518,036461
641,641,Bad Sülze,18334,038229
642,642,Bad Tabarz,99891,036259
643,643,Bad Teinach-Zavelstein,75385,07051
644,644,Bad Tennstedt,99955,036041
645,645,Bad Tölz,83646,08041
646,646,Bad Überkingen,73337,07334
647,647,Bad Urach,72574,07125
648,648,Bad Vilbel,61118,06101
649,649,Bad Waldsee,88339,07524
650,650,Bad Wiessee,83707,08022
651,651,Bad Wildbad,75323,07055
652,652,Bad Wildungen,34537,05621
653,653,Bad Wilsnack,19336,038791
654,654,Bad Wimpfen,74206,07063
655,655,Bad Windsheim,91438,09841
656,656,Bad Wörishofen,86825,08247
657,657,Bad Wünnenberg,33181,02953
658,658,Bad Wurzach,88410,07564
659,659,Bad Zwesten,34596,05626
660,660,Bad Zwischenahn,26160,04403
661,661,Baesweiler,52499,02401
662,662,Bahlingen,79353,07663
663,663,Bahrdorf,38459,05358
664,664,Bahrenborstel,27245,04273
665,665,Bahrenfleth,25569,04824
666,666,Bahrenhof,23845,04535
667,667,Bahretal,1819,038205
668,668,Baienfurt,88255,07502
669,669,Baierbach,84171,08705
670,670,Baierbrunn,82065,089
671,671,Baiern,85625,08093
672,672,Baiersbronn,72270,07442
673,673,Baiersdorf,91083,09133
674,674,Baindt,88255,07502
675,675,Baisweil,87650,08340
676,676,Bäk,23909,04541
677,677,Bakum,49456,05438
678,678,Bälau,23881,04542
679,679,Balderschwang,87538,08326
680,680,Baldringen,54314,06587
681,681,Balduinstein,65558,06432
682,682,Balesfeld,54597,06556
683,683,Balge,31609,05021
684,684,Balgheim,78582,07424
685,685,Balgstädt,6632,034464
686,686,Balingen,72336,07433
687,687,Balje,21730,04752
688,688,Ballendorf,89177,07340
689,689,Ballenstedt,6493,039483
690,690,Ballhausen,99955,036041
691,691,Ballrechten-Dottingen,79282,07634
692,692,Ballstedt,99439,036452
693,693,Balow,19300,038792
694,694,Baltmannsweiler,73666,07153
695,695,Baltrum,26579,04939
696,696,Balve,58802,02375
697,697,Balzhausen,86483,08281
698,698,Balzheim,88481,07347
699,699,Bamberg,96047,0951
700,700,Bamberg,96049,0951
701,701,Bamberg,96050,0951
702,702,Bamberg,96052,0951
703,703,Bammental,69245,06223
704,704,Bandelin,17506,038353
705,705,Bandenitz,19230,038852
706,706,Bann,66851,06307
707,707,Bannberscheid,56424,02623
708,708,Bannewitz,1728,0351
709,709,Banzkow,19079,03868
710,710,Barbelroth,76889,06349
711,711,Barbing,93092,09481
712,712,Barby,39240,039291
713,713,Barby,39249,039298
714,714,Barchfeld-Immelborn,36456,036961
715,715,Bardowick,21357,04178
716,716,Bärenbach,55483,06763
717,717,Bärenbach,55758,06785
718,718,Barenburg,27245,04273
719,719,Barendorf,21397,04137
720,720,Bärenstein,9471,037347
721,721,Bärenthal,78580,07429
722,722,Bargenstedt,25704,04832
723,723,Bargfeld-Stegen,23863,04535
724,724,Bargischow,17398,039726
725,725,Bargstall,24806,04335
726,726,Bargstedt,21698,04164
727,727,Bargstedt,24793,04875
728,728,Bargteheide,22941,04532
729,729,Bargum,25842,04674
730,730,Bark,23826,04558
731,731,Barkelsby,24360,04358
732,732,Barkenholm,25791,04836
733,733,Barkhagen,19395,038735
734,734,Barleben,39179,039203
735,735,Barlt,25719,04857
736,736,Barmissen,24245,04302
737,737,Barmstedt,25355,04123
738,738,Bärnau,95671,09635
739,739,Barnekow,23968,03841
740,740,Barnin,19089,0385
741,741,Barnitz,23858,04533
742,742,Barnstädt,6268,034771
743,743,Barnstedt,21406,04134
744,744,Barnstorf,49406,05442
745,745,Barntrup,32683,05262
746,746,Barsbek,24217,04344
747,747,Barsbüttel,22885,040
748,748,Barsinghausen,30890,05105
749,749,Barßel,26676,04499
750,750,Bartenshagen-Parkentin,18209,038203
751,751,Barth,18356,038231
752,752,Bartholomä,73566,07173
753,753,Bartow,17089,03965
754,754,Barum,29576,05806
755,755,Barum,21357,04178
756,756,Baruth/Mark,15837,033745
757,757,Barver,49453,05444
758,758,Barwedel,38476,05379
759,759,Barweiler,53534,02691
760,760,Bärweiler,55606,06752
761,761,Basberg,54578,06593
762,762,Basdahl,27432,04767
763,763,Basedow,17139,03994
764,764,Basedow,21483,04151
765,765,Bassenheim,56220,02630
766,766,Bassum,27211,04241
767,767,Bastheim,97654,09775
768,768,Basthorst,21493,04151
769,769,Bastorf,18230,038296
770,770,Battenberg (Eder),35088,06452
771,771,Battenberg (Pfalz),67271,06359
772,772,Battweiler,66484,06339
773,773,Baudenbach,91460,09164
774,774,Bauler,53534,02691
775,775,Bauler,54673,06564
776,776,Baumgarten,18246,038461
777,777,Baumholder,55774,06783
778,778,Baunach,96148,09544
779,779,Baunatal,34225,0561
780,780,Bausendorf,54538,06532
781,781,Baustert,54636,06561
782,782,Bautzen - Budyšin,2625,03591
783,783,Bawinkel,49844,05963
784,784,Bayerbach,94137,08532
785,785,Bayerbach b. Ergoldsbach,84092,08774
786,786,Bayerfeld-Steckweiler,67808,06357
787,787,Bayerfeld-Steckweiler,67822,06362
788,788,Bayerisch Eisenstein,94252,09925
789,789,Bayerisch Gmain,83457,08651
790,790,Bayreuth,95444,0921
791,791,Bayreuth,95445,0921
792,792,Bayreuth,95447,0921
793,793,Bayreuth,95448,0921
794,794,Bayrischzell,83735,08023
795,795,Bebensee,23816,04552
